MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,MedHouseVal
2.8125,52.0,5.262,1.043,1179.0,2.180,2.1
3.375,52.0,5.434,1.072,1064.0,2.251,2.225
5.2139,52.0,6.390,1.033,1025.0,2.418,3.25
4.1776,52.0,5.664,1.047,1063.0,2.126,3.012
3.375,49.0,5.301,1.029,1154.0,2.120,2.975
3.4125,52.0,5.368,1.048,1084.0,2.162,2.9
3.3438,52.0,5.234,1.021,1215.0,2.120,2.85
3.8636,52.0,5.617,1.053,987.0,2.284,3.225
4.3125,52.0,5.619,1.063,997.0,2.227,3.15
3.625,52.0,5.275,1.029,1181.0,2.098,2.938
3.6429,52.0,5.393,1.046,1100.0,2.216,2.975
3.4792,52.0,5.206,1.028,1172.0,2.072,2.762
3.75,52.0,5.524,1.064,1073.0,2.288,3.125
3.7353,52.0,5.328,1.039,1090.0,2.111,2.95
3.5417,52.0,5.276,1.036,1165.0,2.127,2.912
3.5278,52.0,5.222,1.029,1189.0,2.082,2.875
3.625,52.0,5.401,1.046,1120.0,2.200,2.938
3.7,52.0,5.337,1.037,1140.0,2.136,2.95
3.5938,52.0,5.283,1.038,1155.0,2.094,2.9
3.625,52.0,5.322,1.042,1145.0,2.111,2.912
3.6136,52.0,5.266,1.032,1187.0,2.085,2.875
3.5208,52.0,5.225,1.029,1201.0,2.069,2.838
3.625,52.0,5.355,1.043,1139.0,2.130,2.925
3.7292,52.0,5.405,1.048,1092.0,2.149,2.975
3.5625,52.0,5.266,1.034,1165.0,2.086,2.875
3.6563,52.0,5.317,1.039,1158.0,2.106,2.912
3.5417,52.0,5.213,1.028,1202.0,2.066,2.85
3.5833,52.0,5.259,1.032,1185.0,2.082,2.875
3.5208,52.0,5.189,1.024,1223.0,2.054,2.825
3.6458,52.0,5.338,1.040,1152.0,2.109,2.925
3.7083,52.0,5.388,1.046,1105.0,2.145,2.962
3.6042,52.0,5.280,1.035,1170.0,2.095,2.888
3.6875,52.0,5.360,1.043,1132.0,2.126,2.95
3.5625,52.0,5.237,1.030,1185.0,2.071,2.862
3.6042,52.0,5.272,1.033,1178.0,2.087,2.887
3.5417,52.0,5.203,1.026,1210.0,2.058,2.838
3.6667,52.0,5.348,1.041,1145.0,2.115,2.938
3.7292,52.0,5.398,1.047,1098.0,2.142,2.975
3.625,52.0,5.305,1.037,1162.0,2.098,2.912
3.6979,52.0,5.373,1.044,1118.0,2.132,2.963
3.5833,52.0,5.252,1.031,1192.0,2.076,2.875
3.625,52.0,5.288,1.034,1175.0,2.089,2.9
3.5625,52.0,5.218,1.028,1198.0,2.063,2.85
3.6771,52.0,5.355,1.042,1138.0,2.118,2.938
3.7396,52.0,5.405,1.047,1095.0,2.145,2.975
3.6354,52.0,5.310,1.038,1160.0,2.100,2.925
3.7083,52.0,5.385,1.045,1108.0,2.138,2.962
3.5938,52.0,5.262,1.032,1185.0,2.078,2.875
3.6354,52.0,5.295,1.035,1172.0,2.091,2.912
3.5729,52.0,5.228,1.029,1195.0,2.068,2.863
3.6875,52.0,5.360,1.042,1140.0,2.120,2.95
3.75,52.0,5.412,1.048,1092.0,2.148,2.987
3.6458,52.0,5.318,1.039,1158.0,2.102,2.925
3.7188,52.0,5.388,1.045,1115.0,2.138,2.975
3.6042,52.0,5.272,1.033,1182.0,2.082,2.9
3.6458,52.0,5.302,1.036,1168.0,2.093,2.912
3.5833,52.0,5.238,1.030,1192.0,2.070,2.87
3.6979,52.0,5.368,1.043,1135.0,2.125,2.95
3.7604,52.0,5.418,1.048,1088.0,2.152,2.988
3.6563,52.0,5.325,1.039,1155.0,2.105,2.938
3.7292,52.0,5.395,1.046,1110.0,2.140,2.975
3.6146,52.0,5.282,1.034,1180.0,2.085,2.9
3.6563,52.0,5.308,1.036,1165.0,2.095,2.925
3.5938,52.0,5.248,1.031,1190.0,2.073,2.875
3.7083,52.0,5.375,1.043,1132.0,2.128,2.963
3.7708,52.0,5.425,1.049,1085.0,2.155,3.0
3.6667,52.0,5.333,1.040,1152.0,2.108,2.938
3.7396,52.0,5.402,1.046,1105.0,2.142,2.987
3.625,52.0,5.290,1.035,1178.0,2.088,2.912
3.6667,52.0,5.318,1.037,1162.0,2.098,2.938
3.6042,52.0,5.258,1.032,1188.0,2.075,2.887
3.7188,52.0,5.382,1.044,1128.0,2.130,2.975
3.7813,52.0,5.432,1.049,1082.0,2.158,3.0
3.6771,52.0,5.340,1.040,1148.0,2.110,2.95
3.75,52.0,5.408,1.047,1102.0,2.145,2.987
3.6354,52.0,5.298,1.035,1175.0,2.090,2.912
3.6771,52.0,5.325,1.038,1160.0,2.100,2.938
3.6146,52.0,5.268,1.033,1185.0,2.078,2.888
3.7292,52.0,5.388,1.044,1125.0,2.132,2.975
3.7917,52.0,5.438,1.050,1078.0,2.160,3.012
3.6875,52.0,5.345,1.041,1145.0,2.112,2.95
3.7604,52.0,5.415,1.047,1100.0,2.148,2.988
3.6458,52.0,5.305,1.036,1172.0,2.092,2.925
3.6875,52.0,5.332,1.038,1158.0,2.102,2.95
3.625,52.0,5.275,1.033,1182.0,2.080,2.9
3.7396,52.0,5.395,1.045,1122.0,2.135,2.975
3.8021,52.0,5.445,1.050,1075.0,2.162,3.012
3.6979,52.0,5.352,1.041,1142.0,2.115,2.963
